Image_Name,yolov8n-seg.pt_Detections,yolov8n-seg.pt_Time_Seconds,yolov8s-seg.pt_Detections,yolov8s-seg.pt_Time_Seconds,yolov8n.pt_Detections,yolov8n.pt_Time_Seconds,yolov8s.pt_Detections,yolov8s.pt_Time_Seconds,yolov8n-oiv7.pt_Detections,yolov8n-oiv7.pt_Time_Seconds
04a0f18e42.jpg,8,0.185,10,0.353,10,0.154,10,0.281,7,0.193
04a0f1981b.jpg,5,0.19,2,0.458,2,0.169,3,0.36,1,0.234
04a0f2f39f.jpg,6,0.181,7,0.382,7,0.123,7,0.287,3,0.188
04a0f399e6.jpg,7,0.166,6,0.354,8,0.12,5,0.291,8,0.164
04a0f690e9.jpg,7,0.175,5,0.388,6,0.15,5,0.339,1,0.228
04a0f69bde.jpg,7,0.142,6,0.492,9,0.145,6,0.288,2,0.186
04a0f6dd86.jpg,4,0.301,2,0.486,2,0.168,2,0.386,0,0.246
04a0f89de6.jpg,2,0.171,1,0.379,1,0.133,1,0.273,1,0.177
04a0f917cb.jpg,3,0.181,3,0.321,3,0.108,3,0.282,4,0.151
04a0f959a6.jpg,5,0.225,4,0.3,5,0.137,3,0.272,2,0.16
04a0f95cad.jpg,6,0.353,6,0.412,7,0.142,7,0.327,5,0.16
04a0fa0a5c.jpg,4,0.304,1,0.393,0,0.158,4,0.36,0,0.141
04a0fa203a.jpg,4,0.241,7,0.377,3,0.126,5,0.275,2,0.137
04a0fc60fa.jpg,13,0.226,8,0.346,10,0.144,3,0.354,9,0.156
04a0fca0a2.jpg,10,0.307,11,0.374,4,0.141,7,0.324,1,0.144
04a0fdfd29.jpg,1,0.323,2,0.357,2,0.146,3,0.333,1,0.141
04a0ff74a1.jpg,12,0.442,17,0.426,8,0.154,12,0.334,2,0.158
image1.jpg,9,0.495,8,0.401,7,0.114,8,0.268,8,0.168
