Image_Name,yolov8n-seg.pt_Detections,yolov8n-seg.pt_Time_Seconds,yolov8s-seg.pt_Detections,yolov8s-seg.pt_Time_Seconds,yolov8n.pt_Detections,yolov8n.pt_Time_Seconds,yolov8s.pt_Detections,yolov8s.pt_Time_Seconds,yolov8n-oiv7.pt_Detections,yolov8n-oiv7.pt_Time_Seconds
04a05be781.jpg,8,0.153,10,0.335,10,0.127,10,0.284,2,0.16
04a05d0659.jpg,7,0.151,7,0.323,9,0.134,5,0.347,5,0.146
04a05ea946.jpg,8,0.153,6,0.346,7,0.119,6,0.279,2,0.148
04a05f469a.jpg,3,0.156,2,0.307,3,0.128,2,0.31,2,0.141
04a05f6166.jpg,6,0.167,5,0.358,5,0.131,5,0.321,3,0.132
04a062776a.jpg,8,0.143,2,0.328,5,0.123,4,0.316,3,0.149
04a062ddba.jpg,5,0.139,7,0.314,6,0.121,6,0.288,5,0.134
04a06321df.jpg,7,0.144,3,0.319,3,0.118,2,0.312,7,0.128
04a063e978.jpg,3,0.155,6,0.434,6,0.158,5,0.406,1,0.153
04a0644805.jpg,4,0.167,3,0.44,4,0.145,3,0.342,1,0.17
04a067586e.jpg,6,0.159,6,0.356,11,0.118,8,0.324,2,0.174
04a0693612.jpg,17,0.221,22,0.345,26,0.131,18,0.304,6,0.154
04a0694ad2.jpg,10,0.152,7,0.321,6,0.11,6,0.283,2,0.133
04a06aa5a7.jpg,6,0.174,6,0.323,4,0.116,6,0.326,3,0.145
04a06f20ba.jpg,18,0.173,9,0.357,11,0.135,13,0.339,2,0.217
04a071d5a8.jpg,4,0.157,6,0.339,3,0.132,2,0.296,3,0.335
04a0744015.jpg,5,0.132,11,0.287,6,0.125,7,0.258,2,0.14
04a074fd29.jpg,6,0.185,1,0.34,3,0.146,1,0.296,1,0.168
04a07543fd.jpg,2,0.15,1,0.345,2,0.127,2,0.266,2,0.148
04a0774980.jpg,9,0.215,11,0.32,6,0.125,10,0.358,2,0.171
04a07842d6.jpg,3,0.146,3,0.305,2,0.121,3,0.285,1,0.15
04a07a40dd.jpg,4,0.173,6,0.372,5,0.141,1,0.334,1,0.181
04a07d4cc0.jpg,12,0.146,9,0.319,11,0.123,10,0.353,6,0.152
04a07e1517.jpg,7,0.156,9,0.375,5,0.109,7,0.282,3,0.129
04a07f5670.jpg,1,0.142,2,0.334,2,0.133,1,0.291,1,0.126
04a080a5bf.jpg,3,0.149,7,0.382,6,0.146,5,0.359,4,0.172
04a08342a4.jpg,3,0.141,2,0.361,1,0.107,1,0.261,0,0.166
04a084ed5d.jpg,8,0.168,13,0.416,12,0.141,16,0.342,2,0.169
04a0854972.jpg,4,0.18,6,0.401,7,0.164,4,0.338,1,0.212
04a0868cda.jpg,6,0.186,18,0.476,5,0.132,13,0.287,2,0.167
04a086f0cf.jpg,4,0.164,5,0.347,3,0.128,4,0.294,1,0.151
04a08be097.jpg,8,0.162,11,0.396,7,0.139,7,0.305,5,0.163
04a08f1839.jpg,5,0.172,5,0.379,6,0.131,4,0.362,1,0.198
04a09161d0.jpg,16,0.17,9,0.351,19,0.119,15,0.364,6,0.131
04a09176a8.jpg,9,0.155,3,0.332,5,0.117,3,0.324,4,0.138
04a091ea20.jpg,11,0.166,11,0.369,12,0.125,12,0.293,4,0.15
04a091f1c5.jpg,4,0.142,2,0.371,4,0.112,5,0.316,2,0.181
04a0935679.jpg,6,0.211,5,0.341,6,0.123,6,0.297,8,0.147
04a09445dd.jpg,2,0.177,3,0.403,3,0.135,2,0.332,3,0.154
04a094ec93.jpg,1,0.182,4,0.378,2,0.138,1,0.584,3,0.171
04a094ecb1.jpg,3,0.156,1,0.419,2,0.139,2,0.469,3,0.15
04a094f4fe.jpg,9,0.14,5,0.268,7,0.104,8,0.267,4,0.158
04a096cfbd.jpg,9,0.192,14,0.341,10,0.12,9,0.282,4,0.143
04a09c5736.jpg,10,0.153,5,0.324,9,0.127,8,0.274,5,0.132
04a09e34d3.jpg,2,0.156,2,0.311,2,0.119,1,0.257,1,0.159
04a09eb15c.jpg,3,0.145,4,0.325,2,0.122,3,0.262,1,0.148
04a09ff1fd.jpg,4,0.141,5,0.351,5,0.119,6,0.245,2,0.162
04a0a1292c.jpg,6,0.374,12,0.577,8,0.326,6,0.485,5,0.396
04a0a16018.jpg,8,0.183,10,0.37,12,0.133,7,0.274,10,0.159
