epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,18150.1,1.26838,2.00086,1.2286,0.94175,0.91481,0.96281,0.69605,1.03227,1.30558,1.09584,0.0004456,0.0004456,0.0004456
58,18438.4,1.31731,2.14319,1.25267,0.93658,0.92029,0.96182,0.70522,1.01386,1.32186,1.08139,0.0004357,0.0004357,0.0004357
59,18727.5,1.27716,1.96222,1.21263,0.93884,0.92934,0.96658,0.7053,1.05842,1.28972,1.09612,0.0004258,0.0004258,0.0004258
60,19014.5,1.2804,1.95881,1.22857,0.93972,0.92748,0.9707,0.70504,1.04687,1.29538,1.09008,0.0004159,0.0004159,0.0004159
61,19337.6,1.25324,2.00839,1.21614,0.92971,0.92705,0.97058,0.72184,0.9922,1.21618,1.059,0.000406,0.000406,0.000406
62,19715.3,1.24772,1.90538,1.20151,0.94538,0.92368,0.9674,0.68493,1.08167,1.25908,1.09679,0.0003961,0.0003961,0.0003961
63,20102.6,1.22634,1.86093,1.1966,0.93554,0.93245,0.97175,0.70582,1.06162,1.21321,1.0933,0.0003862,0.0003862,0.0003862
64,20477.3,1.25078,1.94622,1.20322,0.93628,0.94063,0.9724,0.73052,0.93548,1.18471,1.03872,0.0003763,0.0003763,0.0003763
65,20859.8,1.24711,1.91486,1.20794,0.93939,0.93231,0.97448,0.73175,0.96791,1.17622,1.05141,0.0003664,0.0003664,0.0003664
66,21252.3,1.23026,1.91188,1.19621,0.94974,0.92673,0.97103,0.74327,0.94332,1.17257,1.03804,0.0003565,0.0003565,0.0003565
67,21654.1,1.1552,1.75084,1.16754,0.94828,0.94459,0.97724,0.75657,0.92202,1.11907,1.03526,0.0003466,0.0003466,0.0003466
68,22032.8,1.23331,1.91526,1.20211,0.95169,0.94869,0.98054,0.75294,0.92511,1.12541,1.03395,0.0003367,0.0003367,0.0003367
69,22463.8,1.17909,1.7991,1.17688,0.95539,0.94544,0.97845,0.73499,0.95243,1.14663,1.04154,0.0003268,0.0003268,0.0003268
70,22957.2,1.18315,1.74373,1.16428,0.95559,0.94589,0.98051,0.7524,0.90295,1.10933,1.02941,0.0003169,0.0003169,0.0003169
71,23487.2,1.16862,1.76364,1.16776,0.95904,0.94739,0.98188,0.75266,0.90486,1.10658,1.02962,0.000307,0.000307,0.000307
72,23937.2,1.10562,1.62015,1.13636,0.95421,0.9444,0.97952,0.74384,0.92985,1.09319,1.03183,0.0002971,0.0002971,0.0002971
